client_id,company_name,industry,company_size,first_engagement_date,last_engagement_date,total_positions_filled,revenue_generated,verified,is_repeat_client,engagement_count,active_positions,days_since_last_contact,client_status,client_value_score,is_dormant_warm
4307,DailyRounds - Marrow,Various,Unknown,2024-02-16 13:01:34,2024-08-23 10:58:15,3,30000.0,1,True,3,3,538.0,dormant_warm,9.0,True
4313,MAI Labs,Various,Unknown,2024-02-21 08:01:24,2024-02-21 10:15:47,2,20000.0,1,False,1,2,722.0,dormant_warm,6.0,True
4357,Studio Earth,Various,Unknown,2024-08-22 10:08:09,2024-08-28 11:56:25,2,20000.0,1,False,1,2,533.0,dormant_warm,6.0,True
4341,bobble.ai,Various,Unknown,2024-05-21 16:57:54,2024-05-21 17:34:22,2,20000.0,1,False,1,2,631.0,dormant_warm,6.0,True
4361,Zenskar,Various,Unknown,2024-11-21 06:18:44,2024-11-21 06:28:38,2,20000.0,1,False,1,1,448.0,dormant_warm,6.0,True
4321,Auriga IT,Various,Unknown,2024-03-08 07:05:03,2024-04-02 12:27:58,2,20000.0,1,False,1,1,681.0,dormant_warm,6.0,True
4328,Tortoise,Various,Unknown,2024-03-19 14:51:09,2024-03-19 16:33:38,2,20000.0,1,False,1,2,694.0,dormant_warm,6.0,True
4323,Bharat Homeopathy Pvt Ltd,Various,Unknown,2024-03-15 06:01:51,2024-03-19 05:47:35,2,20000.0,0,True,3,0,695.0,dormant_warm,6.0,True
4369,CarInfo,Various,Unknown,2025-01-28 12:45:48,2025-01-28 13:49:37,2,20000.0,1,False,1,2,380.0,dormant_warm,6.0,True
4342,Cornerstone,Various,Unknown,2024-05-24 07:56:26,2024-05-24 08:44:28,2,20000.0,1,False,1,1,629.0,dormant_warm,6.0,True
4322,Heady,Various,Unknown,2024-08-20 15:36:53,2024-09-01 08:21:44,2,20000.0,1,False,1,2,529.0,dormant_warm,6.0,True
4368,Acko Insurance,Various,Unknown,2025-01-11 08:43:09,2025-01-11 09:26:24,2,20000.0,1,False,1,2,397.0,dormant_warm,6.0,True
4345,Ced,Various,Unknown,2024-06-19 08:56:16,2024-06-19 08:56:16,1,10000.0,0,False,1,5,603.0,dormant_warm,3.0,True
4191,Lifesight,Various,Unknown,2024-12-18 15:02:38,2024-12-18 15:02:38,1,10000.0,1,True,2,1,421.0,dormant_warm,3.0,True
4336,CX100,Various,Unknown,2024-04-27 13:35:58,2024-04-27 13:35:58,1,10000.0,1,False,1,1,656.0,dormant_warm,3.0,True
4364,CRMIT,Various,Unknown,2024-11-28 14:55:51,2024-11-28 14:55:51,1,10000.0,1,False,1,1,441.0,dormant_warm,3.0,True
4346,CED,Various,Unknown,2024-06-20 08:27:05,2024-06-20 08:27:05,1,10000.0,0,False,1,0,602.0,dormant_warm,3.0,True
4333,DCB Bank,Various,Unknown,2024-04-19 10:13:23,2024-04-19 10:13:23,1,10000.0,1,False,1,1,664.0,dormant_warm,3.0,True
4358,Envox Staffing Solutions,Various,Unknown,2024-09-05 11:56:13,2024-09-05 11:56:13,1,10000.0,0,False,1,0,525.0,dormant_warm,3.0,True
4335,FAQPrime,Various,Unknown,2024-04-25 06:48:36,2024-04-25 06:48:36,1,10000.0,1,False,1,1,658.0,dormant_warm,3.0,True
4362,Apnamart,Various,Unknown,2024-11-21 11:21:19,2024-11-21 11:21:19,1,10000.0,1,False,1,1,448.0,dormant_warm,3.0,True
4339,Valuebound,Various,Unknown,2024-05-16 11:20:11,2024-05-16 11:20:11,1,10000.0,0,False,1,0,637.0,dormant_warm,3.0,True
4348,Handle Exception IT Services Private Limited,Various,Unknown,2024-06-28 06:01:07,2024-06-28 06:01:07,1,10000.0,0,False,1,0,594.0,dormant_warm,3.0,True
4331,truhire.online,Various,Unknown,2024-03-22 06:59:31,2024-03-22 06:59:31,1,10000.0,0,False,1,0,692.0,dormant_warm,3.0,True
